,RegionName,City,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
4402,90272,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2807500.0,2820000.0,2699000.0,2831000.0,2695000.0,2541500.0,2724500.0,2650000.0,2650000.0,2495000.0,2725000.0,2900000.0,2995000.0,3385000.0,3495000.0,3300000.0,2995000.0,2762500.0,3195000.0,2972500.0,2800000.0,2795500.0,2854500.0,2945000.0,2995000.0,3100000.0,2799000.0,2886500.0,2898000.0,2875000.0,2997000.0,3250000.0,3250000.0,3272500.0,3222500.0,3395000.0,3447500.0,3549000.0,3395000.0,3299900.0,3395000.0,3322450.0,3299000.0,3224500.0,3299800.0,3395000.0,3395000.0,3495000.0,3490000.0,3750000.0,3595000.0
4429,91324,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537000.0,490000.0,537000.0,549000.0,542000.0,529999.0,499900.0,499000.0,499925.0,499000.0,479950.0,496472.5,530750.0,495472.5,529000.0,544450.0,534000.0,529000.0,529000.0,535000.0,525000.0,529950.0,577475.0,602000.0,599000.0,595000.0,599000.0,599000.0,624450.0,599575.0,599900.0,599000.0,599000.0,599749.5,598450.0,599000.0,591960.0,609000.0,610000.0,629999.0,629949.5,629900.0,624949.5,619900.0,599950.0,633900.0,626240.0,617900.0
4473,91303,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339750.0,334500.0,347000.0,369450.0,434000.0,494000.0,492500.0,502500.0,515000.0,500000.0,500000.0,512500.0,469000.0,479000.0,459450.0,462425.0,464950.0,517000.0,515000.0,522500.0,549250.0,549000.0,549000.0
4515,90062,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299999.0,299000.0,299000.0,299900.0,315000.0,330000.0,317000.0,325000.0,349999.0,342000.0,325000.0,330000.0,349999.0,337450.0,344900.0,348950.0,349900.0,349999.5,350000.0,346750.0,349000.0,349000.0,359000.0,359950.0,374900.0,359950.0,360500.0,360000.0,365000.0,365000.0,365000.0,380000.0,389000.0,395000.0,415000.0,419457.0,419500.0,410000.0,429000.0,434450.0,449000.0,429900.0,452000.0,459000.0,480000.0,480000.0,483000.0,492000.0,485000.0,500000.0,500000.0
4650,90210,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5345000.0,5345000.0,5122500.0,5500000.0,5750000.0,5800000.0,5499000.0,5295000.0,5295000.0,5725000.0,5800000.0,5974000.0,5495000.0,5475000.0,5285000.0,5025000.0,4850000.0,5195000.0,5592500.0,5695000.0,5995000.0,5445000.0,5497500.0,6395000.0,5990000.0
4724,91411,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629900.0,629000.0,643000.0,639000.0,699000.0,678500.0,625000.0,635000.0,652000.0,646944.0,649888.0,624900.0,622425.0,655000.0,649000.0,650000.0,712500.0,729000.0,729000.0,729000.0,729900.0,719500.0,739500.0,728000.0,739500.0
4753,90710,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388700.0,374250.0,373500.0,399450.0,412500.0,399900.0,439000.0,449000.0,444000.0,449500.0,455499.5,414500.0,388000.0,340000.0,370000.0,419000.0,417000.0,415000.0,434700.0,445750.0,449000.0,447000.0,449000.0,449000.0,444000.0,444450.0,389444.0,455000.0,459450.0,484950.0,504450.0,499900.0,524450.0,499900.0,499000.0,526995.0,529000.0,550000.0,539000.0,500000.0,490000.0,490000.0,490000.0,480000.0,484888.0,537500.0,532450.0,535000.0,539000.0,513500.0,534000.0
5049,90732,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000.0,420000.0,444500.0,459000.0,470000.0,447000.0,450000.0,459000.0,450000.0,440000.0,439000.0,449500.0,450000.0,444900.0,439000.0,429000.0,445000.0,445000.0,471500.0,489000.0,479900.0,459250.0,449000.0,482900.0,499000.0,499000.0,499000.0,510000.0,507450.0,495000.0,505000.0,501950.0,499000.0,499000.0,520000.0,510000.0,537000.0,549000.0,575000.0,532000.0,535000.0,519000.0,585000.0,557400.0,589000.0,571000.0,554450.0,541950.0,555000.0,555000.0,599500.0
5249,91307,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577250.0,599000.0,619450.0,634000.0,589500.0,629000.0,610000.0,599949.5,599450.0,589000.0,599900.0,589000.0,599450.0,588000.0,599000.0,599950.0,600000.0,638999.0,645000.0,620500.0,629999.0,626995.0,642000.0,658500.0,669000.0,664000.0,653999.5,671999.5,659000.0,689900.0,679900.0,649900.0,639900.0,642000.0,637000.0,649250.0,649000.0,642000.0,649000.0,649000.0,669900.0,690394.0,669900.0,669900.0,679000.0,689000.0,699000.0,699900.0,699925.0,699994.5,729975.0
5497,91340,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000.0,320100.0,339475.0,351950.0,339999.0,344499.5,335000.0,344499.5,350000.0,349949.5,339900.0,349999.0,339950.0,349900.0,369000.0,365000.0,344000.0,345000.0,357200.0,359925.0,369999.0,375000.0,369999.0,363499.5,379000.0,374950.0,343500.0,375000.0,372500.0,399950.0,404950.0,409900.0,422499.5,419999.5,419450.0,419900.0,399000.0,422475.0,424950.0,410000.0,425000.0,420000.0,419000.0,417900.0,411949.5,430375.0,469000.0,475000.0,475000.0,472500.0,480000.0
5658,91040,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437450.0,430000.0,425000.0,425000.0,450000.0,488500.0,480000.0,499000.0,510000.0,479000.0,477000.0,450000.0,461500.0,454900.0,479450.0,479000.0,529900.0,549000.0,545000.0,522000.0,516500.0,537000.0,499400.0,504797.0,529000.0,533700.0,554450.0,575000.0,557000.0,539000.0,529000.0,599497.5,599995.0,593000.0,571000.0,580000.0,594000.0,604089.5,619000.0,650000.0,657500.0,644500.0,597000.0,599000.0,585000.0,599497.5,585000.0,598000.0,598999.5,634500.0,612499.5
5663,90061,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229950.0,229900.0,219500.0,235000.0,245000.0,242500.0,250944.0,250944.0,285000.0,285000.0,280000.0,272499.5,257450.0,267450.0,269999.0,285000.0,275000.0,272500.0,285000.0,287450.0,319990.0,322449.5,318000.0,316000.0,309990.0,310000.0,313995.0,309000.0,310000.0,329500.0,324950.0,319000.0,314999.0,321950.0,327400.0,325000.0,340000.0,349950.0,344950.0,329950.0,340000.0,340000.0,340000.0,369000.0,350000.0,347500.0,340000.0,351077.0,345000.0,350000.0,375000.0
6808,91436,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,6809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495000.0,1475000.0,1477000.0,1499999.0,1572500.0,1649000.0,1799000.0,1699000.0,1699000.0,1749000.0,1749000.0,1735000.0,1647663.0,1735000.0,1679000.0,1695000.0,1664500.0,1695500.0,1700000.0,1699000.0,1801000.0,1799500.0,1893000.0,1899499.5,1900000.0,1899000.0,1925000.0,1925000.0,1862000.0,1812500.0,1862000.0,1897000.0,1924999.5,2199000.0,2197000.0,2275000.0
